"movie"	"profane"	"word"	"minutes_in"	"year"
"Reservoir Dogs"	TRUE	"dick"	0.4	1992
"Reservoir Dogs"	TRUE	"dicks"	0.43	1992
"Reservoir Dogs"	TRUE	"fucked"	0.55	1992
"Reservoir Dogs"	TRUE	"fucking"	0.61	1992
"Reservoir Dogs"	TRUE	"bullshit"	0.61	1992
"Reservoir Dogs"	TRUE	"fuck"	0.66	1992
"Reservoir Dogs"	TRUE	"shit"	0.9	1992
"Reservoir Dogs"	TRUE	"fuck"	1.43	1992
"Reservoir Dogs"	TRUE	"dicks"	1.56	1992
"Reservoir Dogs"	TRUE	"fuck"	1.66	1992
"Reservoir Dogs"	TRUE	"dick"	1.75	1992
"Reservoir Dogs"	TRUE	"dick"	1.75	1992
"Reservoir Dogs"	TRUE	"dick"	1.75	1992
"Reservoir Dogs"	TRUE	"dick"	1.75	1992
"Reservoir Dogs"	TRUE	"dick"	1.75	1992
"Reservoir Dogs"	TRUE	"dick"	1.75	1992
"Reservoir Dogs"	TRUE	"dick"	1.75	1992
"Reservoir Dogs"	TRUE	"dicks"	1.75	1992
"Reservoir Dogs"	TRUE	"motherfucker"	1.83	1992
"Reservoir Dogs"	TRUE	"dick"	1.96	1992
"Reservoir Dogs"	TRUE	"pussy"	2.15	1992
"Reservoir Dogs"	TRUE	"fucks"	2.18	1992
"Reservoir Dogs"	TRUE	"fuck"	2.3	1992
"Reservoir Dogs"	TRUE	"fucking"	2.45	1992
"Reservoir Dogs"	TRUE	"hell"	2.48	1992
"Reservoir Dogs"	TRUE	"fucking"	2.51	1992
"Reservoir Dogs"	TRUE	"fucking"	2.81	1992
"Reservoir Dogs"	TRUE	"dick"	2.86	1992
"Reservoir Dogs"	TRUE	"jap"	2.93	1992
"Reservoir Dogs"	TRUE	"fuck"	3.05	1992
"Reservoir Dogs"	TRUE	"shit"	3.2	1992
"Reservoir Dogs"	TRUE	"fucking"	3.4	1992
"Reservoir Dogs"	TRUE	"fucking"	3.55	1992
"Reservoir Dogs"	TRUE	"fucking"	3.7	1992
"Reservoir Dogs"	TRUE	"motherfucker"	3.93	1992
"Reservoir Dogs"	TRUE	"motherfucker"	3.98	1992
"Reservoir Dogs"	TRUE	"shit"	4.35	1992
"Reservoir Dogs"	TRUE	"shit"	4.76	1992
"Reservoir Dogs"	TRUE	"fucking"	4.86	1992
"Reservoir Dogs"	TRUE	"dick"	5.25	1992
"Reservoir Dogs"	TRUE	"fucking"	5.41	1992
"Reservoir Dogs"	TRUE	"fucking"	5.51	1992
"Reservoir Dogs"	TRUE	"fucking"	5.55	1992
"Reservoir Dogs"	TRUE	"fucking"	5.61	1992
"Reservoir Dogs"	TRUE	"bullshit"	6.23	1992
"Reservoir Dogs"	TRUE	"fuck"	6.46	1992
"Reservoir Dogs"	TRUE	"fucked"	6.58	1992
"Reservoir Dogs"	TRUE	"fucks"	6.66	1992
"Reservoir Dogs"	TRUE	"bullshit"	6.81	1992
"Reservoir Dogs"	TRUE	"fucking"	6.86	1992
"Reservoir Dogs"	TRUE	"fucking"	6.73	1992
"Reservoir Dogs"	TRUE	"bastard"	7.38	1992
"Reservoir Dogs"	TRUE	"goddamn"	7.41	1992
"Reservoir Dogs"	TRUE	"goddamn"	7.58	1992
"Reservoir Dogs"	TRUE	"shit"	9.63	1992
"Reservoir Dogs"	TRUE	"fucking"	9.96	1992
"Reservoir Dogs"	TRUE	"shit"	10.01	1992
"Reservoir Dogs"	TRUE	"fucking"	10.08	1992
"Reservoir Dogs"	TRUE	"shit"	10.26	1992
"Reservoir Dogs"	TRUE	"goddamn"	11.13	1992
"Reservoir Dogs"	TRUE	"fucking"	11.13	1992
"Reservoir Dogs"	TRUE	"fucking"	11.85	1992
"Reservoir Dogs"	TRUE	"fucking"	12.06	1992
"Reservoir Dogs"	TRUE	"fucking"	12.08	1992
"Reservoir Dogs"	TRUE	"fucking"	12.43	1992
"Reservoir Dogs"	TRUE	"fucking"	12.45	1992
"Reservoir Dogs"	TRUE	"fucking"	12.9	1992
"Reservoir Dogs"	TRUE	"fucking"	13.73	1992
"Reservoir Dogs"	TRUE	"fuck"	14.38	1992
"Reservoir Dogs"	TRUE	"fucking"	14.66	1992
"Reservoir Dogs"	TRUE	"fucking"	14.95	1992
"Reservoir Dogs"	TRUE	"fucking"	15.38	1992
"Reservoir Dogs"	TRUE	"fucking"	15.41	1992
"Reservoir Dogs"	TRUE	"shit"	15.45	1992
"Reservoir Dogs"	TRUE	"fuck"	15.51	1992
"Reservoir Dogs"	TRUE	"fuck"	15.65	1992
"Reservoir Dogs"	TRUE	"fucking"	15.75	1992
"Reservoir Dogs"	TRUE	"fucked"	15.86	1992
"Reservoir Dogs"	TRUE	"fucked"	15.88	1992
"Reservoir Dogs"	TRUE	"fucked"	15.93	1992
"Reservoir Dogs"	TRUE	"fuck"	16.45	1992
"Reservoir Dogs"	TRUE	"motherfuckers"	16.6	1992
"Reservoir Dogs"	TRUE	"fucking"	16.65	1992
"Reservoir Dogs"	TRUE	"fuck"	16.75	1992
"Reservoir Dogs"	TRUE	"fucking"	16.86	1992
"Reservoir Dogs"	TRUE	"fucking"	17.56	1992
"Reservoir Dogs"	TRUE	"fuck"	17.63	1992
"Reservoir Dogs"	TRUE	"fucking"	17.75	1992
"Reservoir Dogs"	TRUE	"fucking"	17.95	1992
"Reservoir Dogs"	TRUE	"fucking"	18	1992
"Reservoir Dogs"	TRUE	"shit"	20.13	1992
"Reservoir Dogs"	TRUE	"fucking"	20.16	1992
"Reservoir Dogs"	TRUE	"fuck"	20.68	1992
"Reservoir Dogs"	TRUE	"fuck"	20.73	1992
"Reservoir Dogs"	TRUE	"fuck"	20.93	1992
"Reservoir Dogs"	TRUE	"fucking"	20.96	1992
"Reservoir Dogs"	TRUE	"asshole"	20.98	1992
"Reservoir Dogs"	TRUE	"fuck"	21	1992
"Reservoir Dogs"	TRUE	"fucking"	21.01	1992
"Reservoir Dogs"	TRUE	"fuck"	21.2	1992
"Reservoir Dogs"	TRUE	"fucking"	22.18	1992
"Reservoir Dogs"	TRUE	"fuck"	22.21	1992
"Reservoir Dogs"	TRUE	"motherfucker"	22.46	1992
"Reservoir Dogs"	TRUE	"fuck"	22.6	1992
"Reservoir Dogs"	TRUE	"goddamn"	22.71	1992
"Reservoir Dogs"	TRUE	"ass"	22.8	1992
"Reservoir Dogs"	TRUE	"fuck"	23	1992
"Reservoir Dogs"	TRUE	"fucking"	23.2	1992
"Reservoir Dogs"	TRUE	"assholes"	23.35	1992
"Reservoir Dogs"	TRUE	"fucking"	24.01	1992
"Reservoir Dogs"	TRUE	"fuck"	24.05	1992
"Reservoir Dogs"	TRUE	"fucking"	24.6	1992
"Reservoir Dogs"	TRUE	"fuck"	24.66	1992
"Reservoir Dogs"	TRUE	"fucking"	24.76	1992
"Reservoir Dogs"	TRUE	"fucking"	25.13	1992
"Reservoir Dogs"	TRUE	"shit"	25.35	1992
"Reservoir Dogs"	TRUE	"fuck"	25.45	1992
"Reservoir Dogs"	TRUE	"fucking"	25.75	1992
"Reservoir Dogs"	TRUE	"bullshit"	25.76	1992
"Reservoir Dogs"	TRUE	"fucking"	26.01	1992
"Reservoir Dogs"	TRUE	"fucking"	26.06	1992
"Reservoir Dogs"	TRUE	"fucking"	26.16	1992
"Reservoir Dogs"	TRUE	"fucking"	26.26	1992
"Reservoir Dogs"	TRUE	"hell"	27.21	1992
"Reservoir Dogs"	TRUE	"shit"	28.6	1992
"Reservoir Dogs"	TRUE	"fucking"	28.6	1992
"Reservoir Dogs"	TRUE	"fucking"	28.83	1992
"Reservoir Dogs"	TRUE	"shit"	28.83	1992
"Reservoir Dogs"	TRUE	"shit"	29.16	1992
"Reservoir Dogs"	TRUE	"hell"	29.18	1992
"Reservoir Dogs"	TRUE	"fucking"	31.13	1992
"Reservoir Dogs"	TRUE	"fuck"	31.5	1992
"Reservoir Dogs"	TRUE	"fucking"	31.6	1992
"Reservoir Dogs"	TRUE	"fuck"	31.8	1992
"Reservoir Dogs"	TRUE	"fuck"	31.81	1992
"Reservoir Dogs"	TRUE	"fucking"	31.88	1992
"Reservoir Dogs"	TRUE	"hell"	32.11	1992
"Reservoir Dogs"	TRUE	"fucking"	32.43	1992
"Reservoir Dogs"	TRUE	"fuck"	32.55	1992
"Reservoir Dogs"	TRUE	"fucking"	32.58	1992
"Reservoir Dogs"	TRUE	"shit"	32.6	1992
"Reservoir Dogs"	TRUE	"fuck"	32.63	1992
"Reservoir Dogs"	TRUE	"fucking"	32.7	1992
"Reservoir Dogs"	TRUE	"shit"	32.91	1992
"Reservoir Dogs"	TRUE	"asshole"	33.76	1992
"Reservoir Dogs"	TRUE	"shit"	33.81	1992
"Reservoir Dogs"	TRUE	"fucking"	33.9	1992
"Reservoir Dogs"	TRUE	"fucking"	34.3	1992
"Reservoir Dogs"	TRUE	"fuck"	34.38	1992
"Reservoir Dogs"	TRUE	"fucking"	34.46	1992
"Reservoir Dogs"	TRUE	"fucking"	34.56	1992
"Reservoir Dogs"	TRUE	"fucking"	34.6	1992
"Reservoir Dogs"	TRUE	"fuck"	34.71	1992
"Reservoir Dogs"	TRUE	"fucking"	34.75	1992
"Reservoir Dogs"	TRUE	"fuck"	34.85	1992
"Reservoir Dogs"	TRUE	"asshole"	34.98	1992
"Reservoir Dogs"	TRUE	"assholes"	35.48	1992
"Reservoir Dogs"	TRUE	"fuck"	35.5	1992
"Reservoir Dogs"	TRUE	"fucking"	35.6	1992
"Reservoir Dogs"	TRUE	"fucking"	35.61	1992
"Reservoir Dogs"	TRUE	"n-word"	35.61	1992
"Reservoir Dogs"	TRUE	"n-word"	35.63	1992
"Reservoir Dogs"	TRUE	"fucking"	35.71	1992
"Reservoir Dogs"	TRUE	"fucking"	35.83	1992
"Reservoir Dogs"	TRUE	"fuck"	35.88	1992
"Reservoir Dogs"	TRUE	"asses"	35.95	1992
"Reservoir Dogs"	TRUE	"fuck"	36.01	1992
"Reservoir Dogs"	TRUE	"shit"	36.06	1992
"Reservoir Dogs"	TRUE	"fucking"	36.11	1992
"Reservoir Dogs"	TRUE	"fuck"	37.41	1992
"Reservoir Dogs"	TRUE	"fucking"	37.48	1992
"Reservoir Dogs"	TRUE	"fuck"	37.91	1992
"Reservoir Dogs"	TRUE	"fucking"	39.06	1992
"Reservoir Dogs"	TRUE	"asshole"	39.06	1992
"Reservoir Dogs"	TRUE	"fucking"	39.18	1992
"Reservoir Dogs"	TRUE	"hell"	39.46	1992
"Reservoir Dogs"	TRUE	"hell"	39.6	1992
"Reservoir Dogs"	TRUE	"bitch"	39.88	1992
"Reservoir Dogs"	TRUE	"fucking"	40.13	1992
"Reservoir Dogs"	TRUE	"ass"	40.15	1992
"Reservoir Dogs"	TRUE	"ass"	40.3	1992
"Reservoir Dogs"	TRUE	"fuckup"	40.48	1992
"Reservoir Dogs"	TRUE	"shit"	40.96	1992
"Reservoir Dogs"	TRUE	"fuck"	41.25	1992
"Reservoir Dogs"	TRUE	"bastard"	41.3	1992
"Reservoir Dogs"	TRUE	"fuck"	41.31	1992
"Reservoir Dogs"	TRUE	"fuck"	41.43	1992
"Reservoir Dogs"	TRUE	"fucking"	41.75	1992
"Reservoir Dogs"	TRUE	"ass"	41.76	1992
"Reservoir Dogs"	TRUE	"bitch"	41.85	1992
"Reservoir Dogs"	TRUE	"fucking"	41.93	1992
"Reservoir Dogs"	TRUE	"n-word"	41.93	1992
"Reservoir Dogs"	TRUE	"ass"	42	1992
"Reservoir Dogs"	TRUE	"fucking"	42.03	1992
"Reservoir Dogs"	TRUE	"bitch"	42.11	1992
"Reservoir Dogs"	TRUE	"bitch"	42.13	1992
"Reservoir Dogs"	TRUE	"shit"	42.16	1992
"Reservoir Dogs"	TRUE	"fuck"	42.55	1992
"Reservoir Dogs"	TRUE	"motherfucker"	42.56	1992
"Reservoir Dogs"	TRUE	"fucker"	42.6	1992
"Reservoir Dogs"	TRUE	"shitty"	42.66	1992
"Reservoir Dogs"	TRUE	"asshead"	42.86	1992
"Reservoir Dogs"	TRUE	"fucking"	43.06	1992
"Reservoir Dogs"	TRUE	"fucking"	43.31	1992
"Reservoir Dogs"	TRUE	"shit"	43.35	1992
"Reservoir Dogs"	TRUE	"fuck"	42.7	1992
"Reservoir Dogs"	TRUE	"fuck"	42.71	1992
"Reservoir Dogs"	TRUE	"shit"	43.86	1992
"Reservoir Dogs"	TRUE	"fucking"	44	1992
"Reservoir Dogs"	TRUE	"shit"	44.03	1992
"Reservoir Dogs"	TRUE	"fucked"	44.65	1992
"Reservoir Dogs"	TRUE	"fuck"	44.9	1992
"Reservoir Dogs"	TRUE	"fucking"	45.26	1992
"Reservoir Dogs"	TRUE	"damn"	45.4	1992
"Reservoir Dogs"	TRUE	"fucking"	46.48	1992
"Reservoir Dogs"	TRUE	"fuck"	46.53	1992
"Reservoir Dogs"	TRUE	"fucking"	46.65	1992
"Reservoir Dogs"	TRUE	"fucking"	46.66	1992
"Reservoir Dogs"	TRUE	"fuck"	47.5	1992
"Reservoir Dogs"	TRUE	"fucking"	47.51	1992
"Reservoir Dogs"	TRUE	"fucking"	47.55	1992
"Reservoir Dogs"	TRUE	"fucking"	47.7	1992
"Reservoir Dogs"	TRUE	"fucking"	47.71	1992
"Reservoir Dogs"	TRUE	"fucking"	47.73	1992
"Reservoir Dogs"	TRUE	"fucking"	47.75	1992
"Reservoir Dogs"	TRUE	"fucking"	47.8	1992
"Reservoir Dogs"	TRUE	"fucking"	47.88	1992
"Reservoir Dogs"	TRUE	"shit"	47.98	1992
"Reservoir Dogs"	TRUE	"fucking"	48.08	1992
"Reservoir Dogs"	TRUE	"bullshit"	48.15	1992
"Reservoir Dogs"	TRUE	"fuck"	48.16	1992
"Reservoir Dogs"	TRUE	"fucking"	48.25	1992
"Reservoir Dogs"	TRUE	"fucking"	48.26	1992
"Reservoir Dogs"	TRUE	"hell"	48.31	1992
"Reservoir Dogs"	TRUE	"fucking"	48.38	1992
"Reservoir Dogs"	TRUE	"fucking"	48.48	1992
"Reservoir Dogs"	TRUE	"assholes"	48.48	1992
"Reservoir Dogs"	TRUE	"asshole"	48.51	1992
"Reservoir Dogs"	TRUE	"fucking"	48.55	1992
"Reservoir Dogs"	TRUE	"fucking"	48.56	1992
"Reservoir Dogs"	TRUE	"fucking"	48.58	1992
"Reservoir Dogs"	TRUE	"fucking"	48.61	1992
"Reservoir Dogs"	TRUE	"fucking"	48.78	1992
"Reservoir Dogs"	TRUE	"fucking"	48.98	1992
"Reservoir Dogs"	TRUE	"fucking"	49.06	1992
"Reservoir Dogs"	TRUE	"fucking"	49.15	1992
"Reservoir Dogs"	TRUE	"bastard"	49.61	1992
"Reservoir Dogs"	TRUE	"fuck"	49.68	1992
"Reservoir Dogs"	TRUE	"fucking"	49.7	1992
"Reservoir Dogs"	TRUE	"goddamn"	49.75	1992
"Reservoir Dogs"	TRUE	"fucking"	49.8	1992
"Reservoir Dogs"	TRUE	"fucking"	49.9	1992
"Reservoir Dogs"	TRUE	"fucking"	49.98	1992
"Reservoir Dogs"	TRUE	"fucking"	50.51	1992
"Reservoir Dogs"	TRUE	"bastard"	50.68	1992
"Reservoir Dogs"	TRUE	"fucking"	50.76	1992
"Reservoir Dogs"	TRUE	"motherfucker"	50.91	1992
"Reservoir Dogs"	TRUE	"fucking"	51.08	1992
"Reservoir Dogs"	TRUE	"fucking"	51.36	1992
"Reservoir Dogs"	TRUE	"fucking"	51.51	1992
"Reservoir Dogs"	TRUE	"fuck"	51.88	1992
"Reservoir Dogs"	TRUE	"fucking"	51.98	1992
"Reservoir Dogs"	TRUE	"fucking"	53.28	1992
"Reservoir Dogs"	TRUE	"shit"	53.43	1992
"Reservoir Dogs"	TRUE	"bitch"	53.93	1992
"Reservoir Dogs"	TRUE	"bullshit"	54.25	1992
"Reservoir Dogs"	TRUE	"fuck"	54.3	1992
"Reservoir Dogs"	TRUE	"fuck"	56.73	1992
"Reservoir Dogs"	FALSE	NA	59.93	1992
"Reservoir Dogs"	TRUE	"shit"	61	1992
"Reservoir Dogs"	TRUE	"shit"	62.15	1992
"Reservoir Dogs"	TRUE	"fuck"	62.28	1992
"Reservoir Dogs"	TRUE	"fuck"	62.83	1992
"Reservoir Dogs"	TRUE	"fuck"	62.91	1992
"Reservoir Dogs"	TRUE	"fucking"	62.95	1992
"Reservoir Dogs"	TRUE	"bastard"	62.95	1992
"Reservoir Dogs"	TRUE	"fuck"	63.15	1992
"Reservoir Dogs"	TRUE	"fucking"	63.21	1992
"Reservoir Dogs"	TRUE	"fucking"	63.26	1992
"Reservoir Dogs"	TRUE	"fucking"	63.3	1992
"Reservoir Dogs"	TRUE	"fuck"	63.33	1992
"Reservoir Dogs"	TRUE	"fuck"	63.35	1992
"Reservoir Dogs"	TRUE	"fucking"	63.38	1992
"Reservoir Dogs"	TRUE	"fucking"	62.41	1992
"Reservoir Dogs"	TRUE	"pussy"	63.81	1992
"Reservoir Dogs"	TRUE	"fucking"	63.91	1992
"Reservoir Dogs"	TRUE	"motherfucker"	64.31	1992
"Reservoir Dogs"	TRUE	"ass"	64.46	1992
"Reservoir Dogs"	TRUE	"goddamn"	64.75	1992
"Reservoir Dogs"	TRUE	"fucking"	64.76	1992
"Reservoir Dogs"	TRUE	"motherfucker"	65.15	1992
"Reservoir Dogs"	TRUE	"ass"	65.65	1992
"Reservoir Dogs"	TRUE	"damned"	65.73	1992
"Reservoir Dogs"	TRUE	"motherfucker"	65.76	1992
"Reservoir Dogs"	TRUE	"ass"	65.76	1992
"Reservoir Dogs"	TRUE	"fucking"	66.05	1992
"Reservoir Dogs"	TRUE	"fucking"	66.35	1992
"Reservoir Dogs"	TRUE	"fucking"	66.36	1992
"Reservoir Dogs"	TRUE	"fucking"	66.46	1992
"Reservoir Dogs"	TRUE	"fucking"	66.5	1992
"Reservoir Dogs"	TRUE	"ass"	66.5	1992
"Reservoir Dogs"	TRUE	"hell"	66.96	1992
"Reservoir Dogs"	TRUE	"bullshit"	67.03	1992
"Reservoir Dogs"	TRUE	"fucking"	67.21	1992
"Reservoir Dogs"	TRUE	"fucking"	67.28	1992
"Reservoir Dogs"	TRUE	"shit"	67.3	1992
"Reservoir Dogs"	TRUE	"fucking"	67.48	1992
"Reservoir Dogs"	TRUE	"shit"	67.88	1992
"Reservoir Dogs"	TRUE	"motherfucker"	68.01	1992
"Reservoir Dogs"	TRUE	"fucking"	68.66	1992
"Reservoir Dogs"	TRUE	"fucking"	69.25	1992
"Reservoir Dogs"	TRUE	"fuck"	69.28	1992
"Reservoir Dogs"	TRUE	"shit"	69.3	1992
"Reservoir Dogs"	TRUE	"bitch"	69.31	1992
"Reservoir Dogs"	TRUE	"shit"	69.35	1992
"Reservoir Dogs"	TRUE	"ass"	69.46	1992
"Reservoir Dogs"	TRUE	"fucking"	69.48	1992
"Reservoir Dogs"	TRUE	"fucking"	69.51	1992
"Reservoir Dogs"	TRUE	"fucking"	69.53	1992
"Reservoir Dogs"	TRUE	"motherfucker"	69.61	1992
"Reservoir Dogs"	TRUE	"shit"	69.78	1992
"Reservoir Dogs"	TRUE	"fucking"	69.86	1992
"Reservoir Dogs"	TRUE	"ass"	69.88	1992
"Reservoir Dogs"	TRUE	"fucking"	70.06	1992
"Reservoir Dogs"	TRUE	"fucking"	71.63	1992
"Reservoir Dogs"	TRUE	"fuck"	71.95	1992
"Reservoir Dogs"	TRUE	"fucking"	72.16	1992
"Reservoir Dogs"	TRUE	"fucking"	72.4	1992
"Reservoir Dogs"	TRUE	"asshole"	72.58	1992
"Reservoir Dogs"	TRUE	"fucking"	72.61	1992
"Reservoir Dogs"	TRUE	"fucking"	72.95	1992
"Reservoir Dogs"	TRUE	"bitch"	73.05	1992
"Reservoir Dogs"	TRUE	"fucking"	73.28	1992
"Reservoir Dogs"	TRUE	"fucking"	73.36	1992
"Reservoir Dogs"	TRUE	"shit"	74.01	1992
"Reservoir Dogs"	TRUE	"shit"	74.05	1992
"Reservoir Dogs"	TRUE	"bitch"	74.4	1992
"Reservoir Dogs"	TRUE	"shit"	74.43	1992
"Reservoir Dogs"	TRUE	"motherfucker"	74.5	1992
"Reservoir Dogs"	TRUE	"pussy"	76.13	1992
"Reservoir Dogs"	TRUE	"shit"	76.2	1992
"Reservoir Dogs"	TRUE	"fucking"	76.28	1992
"Reservoir Dogs"	TRUE	"fucking"	76.3	1992
"Reservoir Dogs"	TRUE	"bitch"	77.05	1992
"Reservoir Dogs"	TRUE	"bitch"	77.06	1992
"Reservoir Dogs"	TRUE	"fuck"	77.13	1992
"Reservoir Dogs"	TRUE	"n-word"	77.25	1992
"Reservoir Dogs"	TRUE	"shit"	77.28	1992
"Reservoir Dogs"	TRUE	"n-word"	77.33	1992
"Reservoir Dogs"	TRUE	"ass"	77.35	1992
"Reservoir Dogs"	TRUE	"bitches"	77.36	1992
"Reservoir Dogs"	TRUE	"fuck"	77.4	1992
"Reservoir Dogs"	TRUE	"fucking"	78.01	1992
"Reservoir Dogs"	TRUE	"fuck"	78.55	1992
"Reservoir Dogs"	TRUE	"fucking"	78.6	1992
"Reservoir Dogs"	TRUE	"wetback"	78.95	1992
"Reservoir Dogs"	TRUE	"shit"	79.1	1992
"Reservoir Dogs"	TRUE	"fucking"	79.11	1992
"Reservoir Dogs"	TRUE	"shit"	79.36	1992
"Reservoir Dogs"	TRUE	"fucking"	79.4	1992
"Reservoir Dogs"	TRUE	"dick"	79.48	1992
"Reservoir Dogs"	TRUE	"dick"	79.51	1992
"Reservoir Dogs"	TRUE	"fucking"	79.83	1992
"Reservoir Dogs"	TRUE	"fuck"	80.18	1992
"Reservoir Dogs"	TRUE	"bullshit"	80.31	1992
"Reservoir Dogs"	TRUE	"fucking"	80.46	1992
"Reservoir Dogs"	TRUE	"hell"	80.65	1992
"Reservoir Dogs"	TRUE	"faggot"	81.65	1992
"Reservoir Dogs"	TRUE	"shit"	82.05	1992
"Reservoir Dogs"	TRUE	"pussy"	82.08	1992
"Reservoir Dogs"	TRUE	"goddamn"	82.48	1992
"Reservoir Dogs"	TRUE	"fucking"	82.5	1992
"Reservoir Dogs"	TRUE	"fucking"	82.73	1992
"Reservoir Dogs"	TRUE	"goddamn"	82.9	1992
"Reservoir Dogs"	TRUE	"goddamn"	82.96	1992
"Reservoir Dogs"	TRUE	"ass"	83.86	1992
"Reservoir Dogs"	TRUE	"fucking"	84.16	1992
